playid,team,host,m0_cnt,w0,d0,l0,m0_hit,m0_mis,m1_cnt,w1,d1,l1,m1_hit,m1_mis,m_dval,m_num,m_r,m_p
24169,斯图加特,0,10,4,4,2,16,15,8.0,4.0,3.0,1.0,20.0,15.0,5.0,15.0,3.0,50%
24169,明斯特普,1,10,2,3,5,15,22,10.0,6.0,2.0,2.0,17.0,11.0,6.0,20.0,1.0,60%
24169,杜塞多夫,0,10,5,2,3,15,13,10.0,1.0,4.0,5.0,13.0,18.0,-5.0,7.0,17.0,10%
24169,乌尔姆,1,10,2,3,5,11,15,10.0,2.0,2.0,6.0,19.0,24.0,-5.0,8.0,15.0,20%
24169,沙尔克04,0,10,2,2,6,15,24,10.0,2.0,2.0,6.0,10.0,13.0,-3.0,8.0,14.0,20%
24169,阿拉维斯,1,10,4,0,6,13,17,11.0,5.0,3.0,3.0,10.0,8.0,2.0,18.0,7.0,46%
24169,马洛卡,0,10,5,2,3,9,7,11.0,3.0,1.0,7.0,13.0,19.0,-6.0,10.0,16.0,28%
24169,摩纳哥,1,10,6,3,1,21,10,9.0,1.0,4.0,4.0,10.0,16.0,-6.0,7.0,15.0,12%
24169,昂热,0,10,1,4,5,11,18,9.0,6.0,2.0,1.0,15.0,6.0,9.0,20.0,2.0,67%
24169,里尔,1,10,5,2,3,15,11,9.0,4.0,2.0,3.0,16.0,14.0,2.0,14.0,7.0,45%
24169,里昂,0,10,6,2,2,22,11,9.0,5.0,2.0,2.0,15.0,8.0,7.0,17.0,4.0,56%
24169,阿纳西,1,10,4,4,2,15,11,11.0,4.0,3.0,4.0,13.0,15.0,-2.0,15.0,10.0,37%
24169,波城,0,10,4,2,4,11,13,11.0,5.0,4.0,2.0,18.0,13.0,5.0,19.0,3.0,46%
24169,克莱蒙,1,10,3,2,5,8,10,11.0,7.0,2.0,2.0,22.0,12.0,10.0,23.0,2.0,64%
24169,洛里昂,0,10,6,2,2,21,12,11.0,3.0,3.0,5.0,10.0,12.0,-2.0,12.0,12.0,28%
24169,敦刻尔克,1,10,6,1,3,18,15,11.0,6.0,1.0,4.0,15.0,11.0,4.0,19.0,4.0,55%
24169,亚眠,0,10,5,1,4,12,11,11.0,6.0,1.0,4.0,18.0,17.0,1.0,19.0,5.0,55%
24169,马迪圭斯,1,10,2,2,6,7,23,11.0,3.0,2.0,6.0,11.0,20.0,-9.0,11.0,16.0,28%
24169,圣红星,0,10,3,2,5,11,17,11.0,2.0,2.0,7.0,7.0,24.0,-17.0,8.0,18.0,19%
24169,巴黎FC,1,10,7,1,2,17,8,11.0,3.0,2.0,6.0,16.0,18.0,-2.0,11.0,13.0,28%
24169,罗德兹,0,10,3,2,5,16,17,11.0,8.0,1.0,2.0,19.0,8.0,11.0,25.0,1.0,73%
24169,特鲁瓦,1,10,3,1,6,8,13,11.0,4.0,2.0,5.0,16.0,14.0,2.0,14.0,11.0,37%
24169,拉瓦勒,0,10,4,2,4,15,12,11.0,3.0,1.0,7.0,8.0,17.0,-9.0,10.0,17.0,28%
24169,里斯本,1,10,9,1,0,24,3,9.0,1.0,3.0,5.0,7.0,15.0,-8.0,6.0,16.0,12%
24169,阿马多拉,0,10,1,4,5,8,16,9.0,9.0,0.0,0.0,30.0,2.0,28.0,27.0,1.0,100%
24168,奥格斯堡,1,10,5,1,4,17,20,,,,,,,,,,
24168,沙尔克04,0,10,2,3,5,17,23,,,,,,,,,,
24168,勒沃库森,1,10,5,4,1,23,14,,,,,,,,,,
24168,埃弗斯堡,0,10,5,3,2,26,12,,,,,,,,,,
24168,莱红牛,1,10,5,2,3,16,8,,,,,,,,,,
24168,圣保利,0,10,1,3,6,9,16,,,,,,,,,,
24168,沃夫斯堡,1,10,4,2,4,18,17,,,,,,,,,,
24168,多特蒙德,0,10,5,1,4,25,20,,,,,,,,,,
24168,弗赖堡,1,10,7,0,3,23,11,,,,,,,,,,
24168,汉堡,0,10,5,3,2,29,13,,,,,,,,,,
24168,法兰克福,1,10,6,3,1,23,14,,,,,,,,,,
24168,门兴,0,10,5,1,4,19,14,,,,,,,,,,
24168,美因茨,1,10,2,4,4,13,15,,,,,,,,,,
24168,拜仁,0,10,6,2,2,36,12,,,,,,,,,,
24168,卡利亚里,1,10,3,3,4,9,15,8.0,1.0,6.0,1.0,9.0,11.0,-2.0,9.0,12.0,13%
24168,博洛尼亚,0,10,1,6,3,8,14,9.0,2.0,3.0,4.0,8.0,15.0,-7.0,9.0,14.0,23%
24168,莱切,1,10,1,2,7,3,21,9.0,3.0,0.0,6.0,13.0,21.0,-8.0,9.0,15.0,34%
24168,维罗纳,0,10,3,0,7,14,23,9.0,1.0,2.0,6.0,3.0,19.0,-16.0,5.0,20.0,12%
24168,AC米兰,1,10,5,1,4,18,12,9.0,7.0,1.0,1.0,16.0,5.0,11.0,22.0,1.0,78%
24168,那不勒斯,0,10,8,1,1,21,5,8.0,4.0,2.0,2.0,16.0,9.0,7.0,14.0,8.0,50%
24168,恩波利,1,10,3,5,2,9,7,9.0,5.0,3.0,1.0,21.0,13.0,8.0,18.0,2.0,56%
24168,国际米兰,0,10,6,3,1,22,11,9.0,2.0,5.0,2.0,7.0,6.0,1.0,11.0,11.0,23%
24168,威尼斯,1,10,1,2,7,8,19,9.0,5.0,1.0,3.0,12.0,11.0,1.0,16.0,7.0,56%
24168,乌迪内斯,0,10,6,1,3,15,12,9.0,1.0,2.0,6.0,7.0,16.0,-9.0,5.0,20.0,12%
24168,亚特兰大,1,10,5,3,2,22,12,9.0,1.0,5.0,3.0,10.0,11.0,-1.0,8.0,16.0,12%
24168,蒙扎,0,10,2,5,3,13,12,9.0,5.0,1.0,3.0,24.0,14.0,10.0,16.0,5.0,56%
24168,尤文图斯,1,10,4,5,1,15,9,9.0,1.0,5.0,3.0,12.0,14.0,-2.0,8.0,17.0,12%
24168,帕尔马,0,10,1,5,4,12,15,9.0,4.0,5.0,0.0,15.0,5.0,10.0,17.0,3.0,45%
24167,切尔西,1,10,6,2,2,25,11,8.0,3.0,3.0,2.0,8.0,8.0,0.0,12.0,12.0,38%
24167,纽卡斯尔,0,10,4,4,2,10,9,8.0,4.0,2.0,2.0,17.0,10.0,7.0,14.0,7.0,50%
24167,水晶宫,1,10,2,3,5,11,12,8.0,4.0,1.0,3.0,18.0,9.0,9.0,13.0,8.0,50%
24167,热刺,0,10,7,0,3,21,10,8.0,0.0,3.0,5.0,5.0,11.0,-6.0,3.0,18.0,0%
24167,西汉姆联,1,10,3,2,5,13,20,8.0,3.0,2.0,3.0,7.0,9.0,-2.0,11.0,13.0,38%
24167,曼联,0,10,3,5,2,17,12,8.0,2.0,2.0,4.0,11.0,15.0,-4.0,8.0,16.0,25%
24167,阿森纳,1,10,6,3,1,19,9,8.0,7.0,0.0,1.0,15.0,3.0,12.0,21.0,2.0,88%
24167,利物浦,0,10,9,0,1,22,5,8.0,5.0,2.0,1.0,15.0,8.0,7.0,17.0,4.0,63%
24167,波鸿,1,10,1,1,8,12,22,7.0,5.0,2.0,0.0,24.0,7.0,17.0,17.0,2.0,72%
24167,拜仁,0,10,6,2,2,34,14,7.0,0.0,1.0,6.0,7.0,17.0,-10.0,1.0,18.0,0%
24167,柏林联合,1,10,5,3,2,10,9,7.0,4.0,1.0,2.0,15.0,11.0,4.0,13.0,6.0,58%
24167,法兰克福,0,10,6,2,2,22,15,7.0,4.0,2.0,1.0,8.0,4.0,4.0,14.0,5.0,58%
24167,拉齐奥,1,10,6,1,3,20,12,8.0,1.0,3.0,4.0,7.0,17.0,-10.0,6.0,18.0,13%
24167,热那亚,0,10,2,4,4,9,18,8.0,4.0,1.0,3.0,14.0,12.0,2.0,13.0,9.0,50%
24167,国际米兰,1,10,7,2,1,20,7,8.0,4.0,4.0,0.0,11.0,1.0,10.0,16.0,4.0,50%
24167,尤文图斯,0,10,5,4,1,14,5,8.0,5.0,2.0,1.0,17.0,9.0,8.0,17.0,2.0,63%
24167,佛罗伦萨,1,10,5,4,1,21,10,8.0,2.0,4.0,2.0,8.0,6.0,2.0,10.0,11.0,25%
24167,罗马,0,10,3,4,3,10,8,8.0,3.0,4.0,1.0,15.0,8.0,7.0,13.0,9.0,38%
24167,赫塔费,1,10,1,6,3,7,8,10.0,1.0,3.0,6.0,7.0,16.0,-9.0,6.0,20.0,10%
24167,巴伦西亚,0,10,1,4,5,8,16,10.0,1.0,6.0,3.0,7.0,8.0,-1.0,9.0,16.0,10%
24167,贝蒂斯,1,10,4,2,4,10,10,10.0,5.0,5.0,0.0,16.0,6.0,10.0,20.0,4.0,50%
24167,马竞,0,10,5,3,2,14,12,10.0,4.0,3.0,3.0,10.0,9.0,1.0,15.0,8.0,40%
24167,皇家社会,1,10,3,4,3,9,8,10.0,4.0,3.0,3.0,14.0,16.0,-2.0,15.0,9.0,40%
24167,奥萨苏纳,0,10,4,3,3,14,16,10.0,3.0,3.0,4.0,8.0,8.0,0.0,12.0,12.0,30%
24167,里昂,1,10,6,1,3,20,11,8.0,3.0,0.0,5.0,11.0,16.0,-5.0,9.0,13.0,38%
24167,欧塞尔,0,10,4,1,5,15,18,8.0,4.0,1.0,3.0,14.0,12.0,2.0,13.0,7.0,50%
24167,马赛,1,10,6,3,1,26,11,8.0,6.0,2.0,0.0,25.0,8.0,17.0,20.0,1.0,75%
24167,巴黎圣曼,0,10,6,3,1,23,10,8.0,5.0,2.0,1.0,21.0,8.0,13.0,17.0,3.0,63%
24166,维拉,1,10,8,2,0,21,8,8.0,3.0,2.0,3.0,10.0,10.0,0.0,11.0,11.0,38%
24166,伯恩茅斯,0,10,4,2,4,13,13,8.0,5.0,2.0,1.0,15.0,10.0,5.0,17.0,4.0,63%
24166,布赖顿,1,10,6,3,1,21,12,8.0,0.0,1.0,7.0,10.0,23.0,-13.0,1.0,20.0,0%
24166,狼队,0,10,1,1,8,14,26,8.0,4.0,3.0,1.0,14.0,10.0,4.0,15.0,6.0,50%
24166,布伦特,1,10,5,1,4,18,16,8.0,0.0,4.0,4.0,6.0,16.0,-10.0,4.0,17.0,0%
24166,伊普斯,0,10,1,5,4,9,18,8.0,3.0,1.0,4.0,14.0,15.0,-1.0,10.0,13.0,38%
24166,曼城,1,10,7,3,0,24,9,8.0,0.0,1.0,7.0,6.0,18.0,-12.0,1.0,19.0,0%
24166,南安普敦,0,10,1,2,7,12,22,8.0,6.0,2.0,0.0,19.0,9.0,10.0,20.0,2.0,75%
24166,埃弗顿,1,10,3,3,4,13,16,8.0,3.0,2.0,3.0,11.0,11.0,0.0,11.0,12.0,38%
24166,富勒姆,0,10,4,3,3,14,12,8.0,2.0,2.0,4.0,9.0,15.0,-6.0,8.0,16.0,25%
24166,奥格斯堡,1,10,5,1,4,19,20,7.0,4.0,1.0,2.0,14.0,12.0,2.0,13.0,7.0,58%
24166,多特蒙德,0,10,6,1,3,26,18,7.0,2.0,1.0,4.0,10.0,18.0,-8.0,7.0,15.0,29%
24166,莱红牛,1,10,5,2,3,16,9,7.0,5.0,0.0,2.0,12.0,8.0,4.0,15.0,3.0,72%
24166,弗赖堡,0,10,7,1,2,24,10,7.0,5.0,2.0,0.0,11.0,2.0,9.0,17.0,2.0,72%
24166,圣保利,1,10,2,2,6,12,16,7.0,2.0,1.0,4.0,15.0,16.0,-1.0,7.0,13.0,29%
24166,沃夫斯堡,0,10,4,2,4,22,21,7.0,1.0,1.0,5.0,5.0,11.0,-6.0,4.0,16.0,15%
24166,不来梅,1,10,4,2,4,17,19,7.0,4.0,2.0,1.0,18.0,13.0,5.0,14.0,4.0,58%
24166,勒沃库森,0,10,6,3,1,22,12,7.0,3.0,2.0,2.0,12.0,14.0,-2.0,11.0,9.0,43%
24166,亚特兰大,1,10,4,3,3,17,13,8.0,3.0,0.0,5.0,12.0,15.0,-3.0,9.0,13.0,38%
24166,维罗纳,0,10,4,0,6,14,17,8.0,4.0,1.0,3.0,18.0,13.0,5.0,13.0,8.0,50%
24166,巴列卡诺,1,10,3,4,3,11,10,10.0,3.0,1.0,6.0,13.0,18.0,-5.0,10.0,14.0,30%
24166,阿拉维斯,0,10,3,1,6,13,18,10.0,3.0,4.0,3.0,11.0,10.0,1.0,13.0,10.0,30%
24166,拉帕马斯,1,10,1,3,6,12,19,10.0,3.0,3.0,4.0,11.0,13.0,-2.0,12.0,13.0,30%
24166,赫罗纳,0,10,3,2,5,10,13,10.0,1.0,3.0,6.0,12.0,19.0,-7.0,6.0,19.0,10%
24166,皇马,1,10,8,1,1,24,9,10.0,9.0,0.0,1.0,33.0,10.0,23.0,27.0,1.0,90%
24166,巴萨,0,10,8,0,2,37,10,10.0,7.0,3.0,0.0,21.0,7.0,14.0,24.0,2.0,70%
24165,莱切斯特,1,10,3,4,3,16,14,8.0,3.0,4.0,1.0,8.0,6.0,2.0,13.0,8.0,38%
24165,诺丁汉,0,10,4,5,1,13,10,8.0,2.0,3.0,3.0,12.0,14.0,-2.0,9.0,14.0,25%
24165,朴茨茅斯,1,10,1,4,5,8,20,11.0,3.0,3.0,5.0,11.0,17.0,-6.0,12.0,18.0,28%
24165,谢周三,0,10,4,3,3,13,12,11.0,1.0,5.0,5.0,11.0,23.0,-12.0,8.0,24.0,10%
24165,美因茨,1,10,3,3,4,15,15,7.0,3.0,0.0,4.0,10.0,12.0,-2.0,9.0,11.0,43%
24165,门兴,0,10,6,0,4,19,13,7.0,2.0,2.0,3.0,11.0,12.0,-1.0,8.0,12.0,29%
24165,科隆,1,10,4,4,2,25,20,9.0,4.0,4.0,1.0,16.0,12.0,4.0,16.0,5.0,45%
24165,帕德博恩,0,10,5,4,1,20,12,9.0,3.0,3.0,3.0,21.0,18.0,3.0,12.0,10.0,34%
24165,纽伦堡,1,10,5,2,3,20,14,9.0,1.0,1.0,7.0,1.0,22.0,-21.0,4.0,18.0,12%
24165,雷根斯堡,0,10,2,1,7,6,22,9.0,4.0,1.0,4.0,15.0,16.0,-1.0,13.0,9.0,45%
24165,乌迪内斯,1,10,6,1,3,17,12,8.0,2.0,3.0,3.0,8.0,13.0,-5.0,9.0,15.0,25%
24165,卡利亚里,0,10,4,3,3,12,14,8.0,4.0,1.0,3.0,10.0,11.0,-1.0,13.0,8.0,50%
24165,都灵,1,10,4,2,4,17,16,8.0,2.0,3.0,3.0,11.0,15.0,-4.0,9.0,14.0,25%
24165,科莫,0,10,2,5,3,12,16,8.0,3.0,2.0,3.0,14.0,14.0,0.0,11.0,9.0,38%
24165,西班牙人,1,10,3,1,6,10,17,10.0,3.0,3.0,4.0,10.0,15.0,-5.0,12.0,13.0,30%
24165,塞维利亚,0,10,3,3,4,10,15,10.0,3.0,1.0,6.0,10.0,17.0,-7.0,10.0,15.0,30%
24165,雷恩,1,10,3,2,5,13,15,8.0,2.0,0.0,6.0,7.0,19.0,-12.0,6.0,16.0,25%
24165,勒阿弗尔,0,10,2,0,8,8,27,8.0,2.0,2.0,4.0,12.0,12.0,0.0,8.0,13.0,25%
24165,阿纳西,1,10,4,3,3,17,15,9.0,4.0,2.0,3.0,15.0,10.0,5.0,14.0,9.0,45%
24165,拉瓦勒,0,10,5,2,3,18,12,9.0,4.0,3.0,2.0,16.0,13.0,3.0,15.0,6.0,45%
24165,梅斯,1,10,4,4,2,19,12,9.0,4.0,1.0,4.0,16.0,15.0,1.0,13.0,11.0,45%
24165,甘冈,0,10,4,2,4,17,16,9.0,4.0,3.0,2.0,18.0,11.0,7.0,15.0,5.0,45%
24165,罗德兹,1,10,4,0,6,15,14,9.0,6.0,1.0,2.0,15.0,7.0,8.0,19.0,2.0,67%
24165,洛里昂,0,10,6,2,2,16,8,9.0,3.0,0.0,6.0,11.0,13.0,-2.0,9.0,13.0,34%
24165,卡萨皮亚,1,10,4,2,4,13,12,7.0,1.0,2.0,4.0,4.0,12.0,-8.0,5.0,17.0,15%
24165,葡国民,0,10,2,3,5,8,15,8.0,2.0,2.0,4.0,6.0,11.0,-5.0,8.0,11.0,25%
24165,圣克拉拉,1,10,7,0,3,14,10,8.0,2.0,4.0,2.0,10.0,12.0,-2.0,10.0,10.0,25%
24165,吉维森特,0,10,3,4,3,12,13,8.0,5.0,0.0,3.0,11.0,9.0,2.0,15.0,4.0,63%
24164,费伦茨,1,10,5,2,3,15,9,3.0,0.0,1.0,2.0,2.0,6.0,-4.0,1.0,32.0,0%
24164,尼斯,0,10,2,5,3,18,13,3.0,1.0,0.0,2.0,3.0,4.0,-1.0,3.0,20.0,34%
24164,法兰克福,1,10,6,2,2,25,16,2.0,0.0,1.0,1.0,3.0,6.0,-3.0,1.0,29.0,0%
24164,里加足校,0,10,6,1,3,22,13,2.0,1.0,1.0,0.0,6.0,4.0,2.0,4.0,9.0,50%
24164,中日德兰,1,10,5,2,3,21,15,2.0,0.0,1.0,1.0,1.0,2.0,-1.0,1.0,27.0,0%
24164,圣吉罗斯,0,10,2,6,2,6,5,2.0,1.0,1.0,0.0,3.0,1.0,2.0,4.0,10.0,50%
24164,塞萨洛基,1,10,5,2,3,14,8,2.0,0.0,2.0,0.0,3.0,3.0,0.0,2.0,22.0,0%
24164,比尔森,0,10,5,4,1,14,10,2.0,0.0,0.0,2.0,1.0,4.0,-3.0,0.0,32.0,0%
24164,卡拉巴,1,10,6,0,4,19,12,2.0,1.0,1.0,0.0,5.0,1.0,4.0,4.0,8.0,50%
24164,阿贾克斯,0,10,7,2,1,28,9,2.0,0.0,0.0,2.0,1.0,5.0,-4.0,0.0,34.0,0%
24164,安德莱,1,10,4,4,2,12,9,2.0,0.0,1.0,1.0,0.0,2.0,-2.0,1.0,29.0,0%
24164,卢多戈雷,0,10,7,2,1,13,3,2.0,2.0,0.0,0.0,4.0,2.0,2.0,6.0,10.0,100%
24164,毕尔巴鄂,1,10,6,2,2,18,9,2.0,1.0,1.0,0.0,3.0,1.0,2.0,4.0,12.0,50%
24164,斯拉维亚,0,10,8,1,1,20,7,2.0,1.0,1.0,0.0,3.0,1.0,2.0,4.0,11.0,50%
24164,特温特,1,10,3,5,2,16,10,2.0,2.0,0.0,0.0,7.0,1.0,6.0,6.0,6.0,100%
24164,拉齐奥,0,10,6,1,3,21,13,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,26.0,0%
24164,费内巴切,1,10,6,3,1,21,9,2.0,0.0,2.0,0.0,4.0,4.0,0.0,2.0,25.0,0%
24164,曼联,0,10,3,4,3,17,13,2.0,1.0,1.0,0.0,3.0,2.0,1.0,4.0,14.0,50%
24164,里昂,1,10,6,1,3,20,13,2.0,0.0,0.0,2.0,1.0,7.0,-6.0,0.0,34.0,0%
24164,贝西克塔,0,10,5,3,2,20,14,2.0,2.0,0.0,0.0,6.0,1.0,5.0,6.0,7.0,100%
24164,马尔默,1,10,4,4,2,14,7,2.0,1.0,0.0,1.0,3.0,2.0,1.0,3.0,17.0,50%
24164,奥林匹亚,0,10,5,3,2,15,7,2.0,1.0,0.0,1.0,2.0,3.0,-1.0,3.0,23.0,50%
24164,波尔图,1,10,7,1,2,23,10,2.0,1.0,1.0,0.0,3.0,1.0,2.0,4.0,13.0,50%
24164,霍芬海姆,0,10,3,3,4,17,19,2.0,0.0,1.0,1.0,5.0,6.0,-1.0,1.0,27.0,0%
24164,流浪者,1,10,7,0,3,18,8,2.0,2.0,0.0,0.0,5.0,1.0,4.0,6.0,8.0,100%
24164,布加勒,0,10,7,2,1,17,8,2.0,1.0,0.0,1.0,3.0,4.0,-1.0,3.0,21.0,50%
24164,热刺,1,10,7,0,3,24,10,2.0,1.0,0.0,1.0,3.0,4.0,-1.0,3.0,22.0,50%
24164,阿尔克马,0,10,5,1,4,20,11,2.0,2.0,0.0,0.0,5.0,1.0,4.0,6.0,9.0,100%
24163,AC米兰,1,10,4,2,4,17,13,2.0,1.0,0.0,1.0,1.0,3.0,-2.0,3.0,21.0,50%
24163,布鲁日,0,10,6,2,2,16,11,2.0,0.0,0.0,2.0,1.0,4.0,-3.0,0.0,32.0,0%
24163,摩纳哥,1,10,7,3,0,18,7,2.0,0.0,0.0,2.0,1.0,6.0,-5.0,0.0,33.0,0%
24163,莱德红星,0,10,7,0,3,21,11,2.0,1.0,1.0,0.0,4.0,3.0,1.0,4.0,14.0,50%
24163,维拉,1,10,7,2,1,19,10,2.0,0.0,1.0,1.0,0.0,2.0,-2.0,1.0,27.0,0%
24163,博洛尼亚,0,10,1,7,2,9,13,2.0,2.0,0.0,0.0,4.0,0.0,4.0,6.0,7.0,100%
24163,尤文图斯,1,10,6,4,0,17,4,2.0,0.0,1.0,1.0,2.0,4.0,-2.0,1.0,25.0,0%
24163,斯图加特,0,10,3,5,2,21,18,2.0,2.0,0.0,0.0,6.0,3.0,3.0,6.0,8.0,100%
24163,巴黎圣曼,1,10,7,2,1,26,10,2.0,0.0,1.0,1.0,2.0,4.0,-2.0,1.0,26.0,0%
24163,埃因霍温,0,10,8,1,1,26,9,2.0,1.0,0.0,1.0,1.0,2.0,-1.0,3.0,19.0,50%
24163,皇马,1,10,7,2,1,20,8,2.0,2.0,0.0,0.0,10.0,1.0,9.0,6.0,2.0,100%
24163,多特蒙德,0,10,7,1,2,28,14,2.0,1.0,0.0,1.0,3.0,2.0,1.0,3.0,17.0,50%
24163,格拉茨,1,10,6,1,3,26,15,2.0,1.0,1.0,0.0,3.0,1.0,2.0,4.0,13.0,50%
24163,里斯本,0,10,9,1,0,29,3,2.0,0.0,0.0,2.0,1.0,3.0,-2.0,0.0,32.0,0%
24163,亚特兰大,1,10,5,2,3,21,13,2.0,1.0,0.0,1.0,6.0,8.0,-2.0,3.0,23.0,50%
24163,凯尔特人,0,10,8,1,1,32,15,2.0,1.0,1.0,0.0,3.0,0.0,3.0,4.0,15.0,50%
24163,布雷斯特,1,10,5,1,4,17,15,2.0,2.0,0.0,0.0,5.0,0.0,5.0,6.0,8.0,100%
24163,勒沃库森,0,10,7,2,1,24,13,2.0,2.0,0.0,0.0,6.0,1.0,5.0,6.0,7.0,100%
24163,马竞,1,10,5,4,1,13,9,2.0,1.0,0.0,1.0,1.0,2.0,-1.0,3.0,23.0,50%
24163,里尔,0,10,4,2,4,13,12,2.0,1.0,0.0,1.0,2.0,5.0,-3.0,3.0,25.0,50%
24163,巴萨,1,10,8,0,2,35,10,2.0,1.0,0.0,1.0,9.0,3.0,6.0,3.0,19.0,50%
24163,拜仁,0,10,7,2,1,37,10,2.0,1.0,0.0,1.0,6.0,2.0,4.0,3.0,20.0,50%
24163,曼城,1,10,7,3,0,23,10,2.0,1.0,1.0,0.0,4.0,1.0,3.0,4.0,15.0,50%
24163,布拉格,0,10,6,2,2,19,9,2.0,1.0,1.0,0.0,4.0,0.0,4.0,4.0,14.0,50%
24163,莱红牛,1,10,6,2,2,17,8,2.0,2.0,0.0,0.0,5.0,1.0,4.0,6.0,10.0,100%
24163,利物浦,0,10,9,0,1,23,5,2.0,0.0,0.0,2.0,3.0,5.0,-2.0,0.0,31.0,0%
24163,年轻人,1,10,5,1,4,15,17,2.0,1.0,1.0,0.0,4.0,0.0,4.0,4.0,13.0,50%
24163,国际米兰,0,10,6,3,1,21,9,2.0,0.0,0.0,2.0,0.0,8.0,-8.0,0.0,34.0,0%
24162,狼队,1,10,1,1,8,13,25,7.0,5.0,2.0,0.0,17.0,8.0,9.0,17.0,2.0,72%
24162,曼城,0,10,7,3,0,23,9,7.0,0.0,1.0,6.0,9.0,21.0,-12.0,1.0,19.0,0%
24162,利物浦,1,10,9,0,1,23,4,7.0,4.0,2.0,1.0,16.0,8.0,8.0,14.0,6.0,58%
24162,切尔西,0,10,7,2,1,28,10,7.0,6.0,0.0,1.0,13.0,2.0,11.0,18.0,2.0,86%
24162,基尔,1,10,2,3,5,17,26,6.0,3.0,2.0,1.0,6.0,4.0,2.0,11.0,7.0,50%
24162,柏林联合,0,10,4,4,2,12,13,6.0,0.0,2.0,4.0,9.0,19.0,-10.0,2.0,17.0,0%
24162,沃夫斯堡,1,10,4,3,3,20,17,6.0,2.0,2.0,2.0,8.0,12.0,-4.0,8.0,12.0,34%
24162,不来梅,0,10,4,2,4,15,18,6.0,2.0,1.0,3.0,13.0,12.0,1.0,7.0,13.0,34%
24162,莱切,1,10,2,2,6,7,18,7.0,2.0,4.0,1.0,9.0,8.0,1.0,10.0,10.0,29%
24162,佛罗伦萨,0,10,3,6,1,15,12,7.0,1.0,2.0,4.0,3.0,12.0,-9.0,5.0,18.0,15%
24162,威尼斯,1,10,3,1,6,10,17,7.0,3.0,1.0,3.0,16.0,13.0,3.0,10.0,8.0,43%
24162,亚特兰大,0,10,4,2,4,19,15,7.0,1.0,1.0,5.0,5.0,12.0,-7.0,4.0,20.0,15%
24162,卡利亚里,1,10,3,4,3,11,14,7.0,3.0,2.0,2.0,12.0,11.0,1.0,11.0,9.0,43%
24162,都灵,0,10,5,2,3,18,13,7.0,1.0,3.0,3.0,5.0,11.0,-6.0,6.0,16.0,15%
24162,罗马,1,10,2,6,2,10,8,7.0,4.0,2.0,1.0,16.0,9.0,7.0,14.0,4.0,58%
24162,国际米兰,0,10,5,4,1,21,10,7.0,2.0,4.0,1.0,8.0,5.0,3.0,10.0,10.0,29%
24162,马竞,1,10,5,4,1,13,8,9.0,1.0,5.0,3.0,5.0,9.0,-4.0,8.0,17.0,12%
24162,莱加内斯,0,10,3,4,3,10,9,9.0,4.0,5.0,0.0,13.0,5.0,8.0,17.0,3.0,45%
24162,比利亚雷,1,10,5,2,3,17,21,9.0,1.0,5.0,3.0,6.0,7.0,-1.0,8.0,16.0,12%
24162,赫塔费,0,10,1,6,3,6,7,9.0,5.0,2.0,2.0,17.0,17.0,0.0,17.0,6.0,56%
24162,巴萨,1,10,8,0,2,32,10,9.0,3.0,3.0,3.0,9.0,10.0,-1.0,12.0,12.0,34%
24162,塞维利亚,0,10,3,3,4,10,14,9.0,8.0,0.0,1.0,28.0,9.0,19.0,24.0,1.0,89%
24162,勒阿弗尔,1,10,3,0,7,11,23,7.0,3.0,1.0,3.0,10.0,12.0,-2.0,10.0,8.0,43%
24162,里昂,0,10,6,1,3,20,13,7.0,2.0,0.0,5.0,7.0,15.0,-8.0,6.0,15.0,29%
24162,南特,1,10,3,5,2,13,11,7.0,2.0,3.0,2.0,15.0,7.0,8.0,9.0,10.0,29%
24162,尼斯,0,10,2,4,4,17,13,7.0,2.0,3.0,2.0,9.0,8.0,1.0,9.0,11.0,29%
24162,蒙彼利埃,1,10,2,1,7,12,27,7.0,4.0,2.0,1.0,16.0,8.0,8.0,14.0,3.0,58%
24162,马赛,0,10,6,3,1,24,11,7.0,1.0,1.0,5.0,8.0,21.0,-13.0,4.0,18.0,15%
24161,富勒姆,1,10,5,3,2,15,9,7.0,4.0,2.0,1.0,12.0,9.0,3.0,14.0,5.0,58%
24161,维拉,0,10,7,2,1,18,10,7.0,3.0,2.0,2.0,10.0,8.0,2.0,11.0,9.0,43%
24161,伊普斯,1,10,1,5,4,10,18,7.0,1.0,2.0,4.0,7.0,15.0,-8.0,5.0,16.0,15%
24161,埃弗顿,0,10,2,4,4,12,17,7.0,0.0,4.0,3.0,6.0,14.0,-8.0,4.0,17.0,0%
24161,曼联,1,10,3,4,3,16,12,7.0,3.0,1.0,3.0,13.0,13.0,0.0,10.0,11.0,43%
24161,布伦特,0,10,5,2,3,21,18,7.0,2.0,2.0,3.0,5.0,8.0,-3.0,8.0,13.0,29%
24161,纽卡斯尔,1,10,5,4,1,11,8,7.0,3.0,3.0,1.0,13.0,10.0,3.0,12.0,7.0,43%
24161,布赖顿,0,10,6,3,1,24,12,7.0,3.0,3.0,1.0,8.0,7.0,1.0,12.0,8.0,43%
24161,南安普敦,1,10,1,3,6,10,19,7.0,1.0,3.0,3.0,9.0,12.0,-3.0,6.0,15.0,15%
