playid,team,host,m0_cnt,w0,d0,l0,m0_hit,m0_mis,m1_cnt,w1,d1,l1,m1_hit,m1_mis,m_dval,m_num,m_r,m_p
25009,桑德兰,0,10,5,3,2,14,11,26.0,14.0,10.0,2.0,31.0,9.0,22.0,52.0,2.0,54%
25009,法兰克福,1,10,5,1,4,18,15,17.0,7.0,4.0,6.0,32.0,29.0,3.0,25.0,10.0,42%
25009,多特蒙德,0,10,3,3,4,20,17,17.0,10.0,3.0,4.0,40.0,24.0,16.0,33.0,3.0,59%
25009,杜塞多夫,1,10,3,3,4,20,18,17.0,6.0,6.0,5.0,36.0,29.0,7.0,24.0,10.0,36%
25009,达姆施塔,0,10,4,4,2,21,12,17.0,7.0,5.0,5.0,28.0,23.0,5.0,26.0,8.0,42%
25009,雷根斯堡,1,10,4,1,5,8,13,17.0,8.0,3.0,6.0,22.0,17.0,5.0,27.0,7.0,48%
25009,汉诺威96,0,10,3,3,4,13,17,17.0,3.0,2.0,12.0,9.0,39.0,-30.0,11.0,18.0,18%
25009,罗马,1,10,5,3,2,23,11,20.0,5.0,8.0,7.0,17.0,27.0,-10.0,23.0,11.0,25%
25009,热那亚,0,10,4,5,1,10,6,20.0,6.0,6.0,8.0,28.0,26.0,2.0,24.0,10.0,30%
25009,西班牙人,1,10,2,3,5,11,14,19.0,4.0,3.0,12.0,13.0,37.0,-24.0,15.0,19.0,22%
25009,巴利亚多,0,10,3,2,5,10,18,19.0,4.0,4.0,11.0,17.0,31.0,-14.0,16.0,18.0,22%
25009,蒙彼利埃,1,10,1,2,7,8,20,17.0,9.0,4.0,4.0,28.0,18.0,10.0,31.0,3.0,53%
25009,摩纳哥,0,10,2,3,5,14,17,17.0,2.0,3.0,12.0,16.0,42.0,-26.0,9.0,18.0,12%
25009,里尔,1,10,5,5,0,15,9,17.0,8.0,6.0,3.0,35.0,23.0,12.0,30.0,4.0,48%
25009,尼斯,0,10,5,2,3,18,19,17.0,7.0,8.0,2.0,26.0,16.0,10.0,29.0,5.0,42%
25009,甘冈,1,10,6,2,2,24,12,18.0,6.0,5.0,7.0,31.0,29.0,2.0,23.0,11.0,34%
25009,罗德兹,0,10,3,5,2,21,18,18.0,9.0,2.0,7.0,31.0,24.0,7.0,29.0,7.0,50%
25009,圣红星,1,10,5,3,2,18,12,18.0,6.0,6.0,6.0,19.0,20.0,-1.0,24.0,10.0,34%
25009,波城,0,10,3,4,3,10,10,18.0,6.0,4.0,8.0,19.0,29.0,-10.0,22.0,14.0,34%
25009,海牙,1,10,5,1,4,18,14,20.0,9.0,4.0,7.0,29.0,30.0,-1.0,31.0,9.0,45%
25009,海尔蒙特,0,10,2,1,7,9,22,20.0,8.0,7.0,5.0,33.0,25.0,8.0,31.0,8.0,40%
25009,坎布尔,1,10,6,1,3,22,14,21.0,12.0,6.0,3.0,40.0,20.0,20.0,42.0,2.0,58%
25009,SBV精英,0,10,5,5,0,16,6,20.0,10.0,2.0,8.0,28.0,19.0,9.0,32.0,6.0,50%
25009,福伦丹,1,10,6,3,1,19,8,21.0,4.0,7.0,10.0,29.0,49.0,-20.0,-8.0,20.0,20%
25009,维迪斯,0,10,2,2,6,12,28,21.0,13.0,4.0,4.0,47.0,26.0,21.0,43.0,1.0,62%
25009,本菲卡,1,10,5,3,2,15,6,17.0,4.0,8.0,5.0,20.0,20.0,0.0,20.0,9.0,24%
25009,法马利康,0,10,1,4,5,11,17,17.0,12.0,2.0,3.0,38.0,11.0,27.0,38.0,3.0,71%
25008,埃弗顿,1,10,2,5,3,7,8,20.0,9.0,5.0,6.0,30.0,32.0,-2.0,32.0,8.0,45%
25008,维拉,0,10,6,1,3,16,16,19.0,3.0,8.0,8.0,15.0,25.0,-10.0,17.0,16.0,16%
25008,纽卡斯尔,1,10,8,1,1,28,10,20.0,4.0,4.0,12.0,31.0,45.0,-14.0,16.0,17.0,20%
25008,狼队,0,10,4,1,5,17,19,20.0,10.0,5.0,5.0,34.0,22.0,12.0,35.0,5.0,50%
25008,莱切斯特,1,10,2,1,7,15,25,20.0,4.0,9.0,7.0,21.0,28.0,-7.0,21.0,15.0,20%
25008,水晶宫,0,10,4,4,2,14,14,20.0,3.0,5.0,12.0,23.0,44.0,-21.0,14.0,19.0,15%
25008,阿森纳,1,10,5,4,1,18,9,20.0,7.0,3.0,10.0,42.0,30.0,12.0,24.0,13.0,35%
25008,热刺,0,10,3,3,4,20,19,20.0,11.0,7.0,2.0,39.0,18.0,21.0,40.0,3.0,55%
25008,伊普斯,1,10,3,2,5,11,13,20.0,6.0,10.0,4.0,30.0,29.0,1.0,28.0,11.0,30%
25008,布赖顿,0,10,2,6,2,15,14,20.0,3.0,7.0,10.0,20.0,35.0,-15.0,16.0,17.0,15%
25008,曼联,1,10,2,2,6,12,21,20.0,1.0,3.0,16.0,12.0,44.0,-32.0,6.0,20.0,5%
25008,南安普敦,0,10,1,2,7,7,22,20.0,6.0,5.0,9.0,23.0,28.0,-5.0,23.0,15.0,30%
25008,波鸿,1,10,5,1,4,14,9,16.0,4.0,2.0,10.0,12.0,20.0,-8.0,14.0,14.0,25%
25008,圣保利,0,10,3,1,6,9,12,16.0,2.0,2.0,12.0,14.0,36.0,-22.0,8.0,18.0,13%
25008,拜仁,1,10,7,1,2,22,8,16.0,3.0,5.0,8.0,20.0,29.0,-9.0,14.0,15.0,19%
25008,霍芬海姆,0,10,1,4,5,7,16,16.0,12.0,3.0,1.0,48.0,13.0,35.0,39.0,1.0,75%
25008,斯图加特,1,10,6,2,2,22,14,16.0,9.0,3.0,4.0,28.0,22.0,6.0,30.0,4.0,57%
25008,莱红牛,0,10,4,1,5,18,21,16.0,7.0,5.0,4.0,30.0,25.0,5.0,26.0,8.0,44%
25008,柏林联合,1,10,0,1,9,5,21,16.0,4.0,4.0,8.0,17.0,33.0,-16.0,16.0,13.0,25%
