issueid,playid,leage,host,guest,"('old_ods_w', 'min')","('old_ods_w', 'mean')","('old_ods_w', 'max')","('old_ods_d', 'min')","('old_ods_d', 'mean')","('old_ods_d', 'max')","('old_ods_d', 'min')","('old_ods_d', 'mean')","('old_ods_d', 'max')","('new_ods_w', 'min')","('new_ods_w', 'mean')","('new_ods_w', 'max')","('new_ods_d', 'min')","('new_ods_d', 'mean')","('new_ods_d', 'max')","('new_ods_l', 'min')","('new_ods_l', 'mean')","('new_ods_l', 'max')","('w_p', 'min')","('w_p', 'mean')","('w_p', 'max')","('d_p', 'min')","('d_p', 'mean')","('d_p', 'max')","('l_p', 'min')","('l_p', 'mean')","('l_p', 'max')","('kl_w', 'min')","('kl_w', 'mean')","('kl_w', 'max')","('kl_d', 'min')","('kl_d', 'mean')","('kl_d', 'max')","('kl_l', 'min')","('kl_l', 'mean')","('kl_l', 'max')","('ex_r', 'min')","('ex_r', 'mean')","('ex_r', 'max')","('lsd', 'klw')","('lsd', 'kld')","('lsd', 'kll')","('fc', 'klw')","('fc', 'kld')","('fc', 'kll')"
24172,3438140,英　冠,普利茅斯,朴茨茅斯,2.05,2.25,2.42,3.05,3.44,3.75,2.60,2.93,3.25,2.00,2.20,2.32,3.15,3.51,3.75,2.75,3.02,3.25,41.34,42.44,45.77,25.27,26.59,27.90,28.87,30.97,32.66,0.85,0.93,0.98,0.84,0.93,1,0.85,0.93,1.01,0.85,0.93,0.99,0.54,1.17,0.95,0.29,1.36,0.91
24172,3438144,英　冠,斯旺西,沃特福德,1.84,2.13,2.25,2.76,3.35,3.60,2.90,3.23,3.55,1.95,2.13,2.24,3.05,3.38,3.70,2.95,3.27,3.55,41.31,43.87,47.47,25.53,27.58,28.78,26.99,28.55,30.40,0.86,0.93,0.98,0.84,0.93,1.02,0.84,0.93,1.01,0.85,0.93,0.99,0.51,0.98,1.29,0.26,0.96,1.66
24173,3487421,欧　冠,布鲁日,维拉,2.76,3.63,4.00,2.68,3.63,3.95,1.71,1.94,2.16,2.41,3.38,3.80,3.20,3.57,4.75,1.85,2.07,2.20,24.83,27.95,37.74,19.15,26.51,28.19,42.81,45.54,49.66,0.67,0.95,1.06,0.85,0.94,1.26,0.84,0.95,1,0.88,0.94,0.99,1.52,1.4,0.55,2.31,1.97,0.3
24173,3487361,欧　冠,拜仁,本菲卡,1.13,1.23,1.37,4.90,6.54,8.30,6.10,10.34,14.00,1.18,1.30,1.36,5.10,5.99,7.00,5.40,8.27,14.00,66.90,72.61,79.82,13.45,15.83,17.18,6.73,11.56,16.85,0.86,0.95,0.99,0.81,0.95,1.11,0.62,0.95,1.62,0.88,0.95,1.00,0.3,3.46,9.6,0.09,11.99,92.11
24173,3487385,欧　冠,贝红星,巴塞罗那,4.40,11.98,16.50,5.60,6.91,8.40,1.10,1.20,1.26,8.10,13.55,17.00,6.00,7.59,9.00,1.10,1.18,1.22,5.79,7.03,11.20,10.86,12.49,14.63,76.21,80.48,82.76,0.57,0.95,1.19,0.75,0.95,1.12,0.89,0.95,0.98,0.88,0.95,0.98,11.73,4.71,0.19,137.55,22.15,0.03
24173,3487478,欧　冠,费耶诺德,红牛萨尔茨堡,1.41,1.53,1.61,3.90,4.42,4.80,4.10,5.42,6.33,1.44,1.55,1.61,3.90,4.36,5.30,3.92,5.42,6.00,58.79,60.84,63.16,17.13,21.69,23.54,15.70,17.47,23.16,0.88,0.94,0.98,0.85,0.94,1.15,0.69,0.95,1.05,0.88,0.94,0.98,0.27,1.48,2.68,0.07,2.18,7.17
24173,3487353,欧　冠,国际米兰,阿森纳,2.40,2.62,2.80,2.95,3.29,3.60,2.27,2.63,2.82,1.87,2.63,2.78,2.95,3.18,4.70,2.49,2.75,2.92,34.66,35.94,48.63,19.35,29.74,31.25,32.02,34.31,36.17,0.67,0.94,1,0.88,0.95,1.4,0.85,0.94,1,0.88,0.94,0.99,0.97,1.53,0.82,0.93,2.34,0.68
24173,3487401,欧　冠,巴黎圣曼,马德里竞技,1.65,1.82,1.94,2.72,3.69,4.07,3.50,4.08,4.90,1.60,1.75,1.83,3.25,3.72,5.20,3.50,4.58,5.20,49.33,53.87,56.51,17.50,25.44,27.16,18.59,20.69,25.99,0.86,0.94,0.99,0.83,0.95,1.32,0.72,0.95,1.08,0.87,0.94,0.99,0.33,1.87,2.71,0.11,3.51,7.34
24173,3487486,欧　冠,布拉格斯巴达,布雷斯特,1.95,2.19,2.55,2.60,3.42,3.90,2.56,3.17,3.67,2.01,2.37,2.51,3.15,3.37,4.50,2.51,2.96,3.50,37.47,39.94,45.45,20.18,28.08,29.34,27.27,31.98,36.17,0.8,0.95,1,0.88,0.94,1.26,0.8,0.95,1.12,0.88,0.94,0.99,0.97,1.26,1.44,0.94,1.6,2.07
24173,3487416,欧　冠,斯图加特,亚特兰大,1.90,2.11,2.25,3.40,3.75,4.25,2.65,3.07,3.40,2.01,2.27,2.40,3.45,3.77,4.60,2.37,2.84,3.15,38.96,41.66,44.76,19.72,25.07,26.43,30.09,33.27,38.28,0.84,0.95,1,0.86,0.95,1.15,0.79,0.94,1.05,0.88,0.94,0.99,0.66,1.38,1.0,0.43,1.9,0.99
24173,3489197,欧罗巴,贝西克塔斯,马尔默,1.47,1.63,1.80,3.65,4.09,4.60,4.30,4.84,5.50,1.52,1.65,1.73,3.74,4.17,4.60,4.00,4.64,5.40,54.36,57.12,60.70,21.22,22.54,24.78,17.92,20.33,22.41,0.87,0.94,0.99,0.84,0.94,1.04,0.81,0.94,1.1,0.89,0.94,0.98,0.4,1.57,2.8,0.16,2.48,7.84
